CÓDIGO;AUTOR;TÍTULO;EJEM.
320/0271;COLOMBO H. ARIEL;DEMOCRACIAS SIN FUNDAMENTO;1
320/0272;CLARK DANA/FOX JONATHAN/TREAKLE KAY;DERECHO A EXIGIR RESPUESTAS (RECLAMO DE LA SOCIEDAD CIVIL ANTE EL PANEL DE INSPECCIÓN DEL BANCO MUNDIAL;1
320/0273;WITKER JORGE ;DERECHO DE LA COMPETENCIA EN AMERICA (CANADA, CHILE, ESTADOS UNIDOS Y MEXICO);1
320/0274;GARGARELLA ROBERTO ;DERECHO Y GRUPOS DESAVENTAJADOS;1
320/0275;BRETONE MARIO; DERECHO Y TIEMPO EN LA TRADICIÓN EUROPEA;1
320/0276;BEARDSWORTH RICHARD;DERRIDA Y LO POLÍTICO;1
320/0277;LAZARTE R. JORGE;"DERRUMBE DE LA ""RES- PUBLICA"" (LOS PROCESOS ELECTORALES EN BOLIVIA: 2002-2004 Y 2005)";1
320/0278;MIGUENS JOSÉ ENRRIQUE;DESAFÍO A LA POLÍTICA NEOLIBERAL (COMUNITARISMO Y DEMOCRACIA EN ARISTOTELES);1
320/0279;REVISTA DE CIENCIAS SOCIALES No. 189;DESARROLLO ECONOMICO;1
320/0280;ALBURQUERQUE FRANCISCO/COSTAMAGNA/FERRARO;DESARROLLO ECONOMICO LOCAL, DESCENTRALIZACIÓN Y DEMOCRACIA (IDEAS PARA UN CAMBIO);1
320/0281; DIEZ A. JOSE/LORENZANO PABLO;DESARROLLOS ACTUALES DE LA METATEORÍA ENTRUCTURALISTA (PROBLEMAS Y DISCUSIONES);1
320/0282;BIL DAMIAN;DESCALIFICADOS (PROCESO DE TRABAJO Y CLASE OBRERA EN LA RAMA GRÁFICA (1890-1940) ;1
320/0283;CLEMENTE ADRIANA/SMLOVITZ CATALINA;DESCENTRALIZACIÓN, POLÍTICAS SOCIALES Y PARTICIPACIÓN DEMOCRÁTICA EN ARGENTINA ;1
320/0284;ALBERTI GIORGIO/JAITE B. DANIELA;DESDE ABAJO (ESTRATEGIAS PARA LA INTERNACIONALIZACIÓN DE LAS PEQUEÑAS Y MEDIANAS EMPRESAS ENTRE ITALIA Y LA ARGENTINA ;1
320/0285;DABAT GERMÁN;DESDE ADENTRO (POLÍTICAS MUNICIPALES DE COMPETITIVIDAD Y COMERCIO EXTERIOR);1
320/0286;CENTRO JUAN AZURDUY;DESDE LA MIRADA DE LAS MUJERES (SISTEMATIZACIÓN DE PROPUESTAS HACIA LA ASAMBLEA CONSTITUYENTE);1
320/0287;COURTIS CHRISTIAN;DESDE OTRO MIRADA (TEXTOS DE TEORIA CRÍTICA DEL DERECHO);1
320/0288;ALLES MARTHA;DESEMPEÑO POR COMPETENCIAS (EVALUACIÓN DE 360);3
320/0289;THOREAU D. HENRY;DESOBEDIENCIA CIVIL;1
320/0290;BOBBIO NORBERTO/ MATTEUCCI NICOLA/....OTROS;DICCIONARIO DE POLITICA (A-J);1
320/0292;DAHL A. ROBERTO;¿DESPUES DE LA REVOLUCION? (LA AUTORIDAD EN LAS SOCIEDADES AVANZADAS];2
320/0293;BODEI REMO;DESTINOS PERSONALES (LA ERA DE LA COLONIZACIÓN DE LAS CONCIENCIAS);1
320/0294;ESQUIVEL JUAN CRUZ;DETRÁS DE LOS MUROS (LA IGLESIA CATÓLICA EN TIEMPOS DE ALFONSIN Y MENEN 1983-1999);1
320/0295;MARKOVIC MIHAILO;DIALÉCTICA DE LA PRAXIS;2
320/0296;JOLY MAURICE;DIÁLOGO EN EL INFERNO ENTRE MAQUIAVELO Y MONTESQUIU;2
320/0297;LUNA FÉLIX/BOTANA R NATALIO;DIALOGOS CON LA HISTORIA Y LA POLÍTICA;3
320/0298;KORDA ALBERTO;DIARIO DE UNA REVOLUCIÓN;1
320/0299;ARZE JOSE ROBERTO;DICCIONARIO BIOGRÁFICO BOLIVIANO (FIGURAS CENTRALES EN LA HISTORIA DE BOLIVIA, EPOCA INDENDENCIA Y REPÚBLICAS);1
320/0300;OJEDA HERNÁNDEZ FÉLIX;DICCIONARIO DE ADMINISTRACIÓN DE EMPRESAS;1
320/0301;DI TELLA S. TORCUATO/CHUMBITA/GAMBA/GAJARDO;DICOONARIO DE CIENCIAS SOCIALES Y POLITICAS;2
320/0302; GRECO ORLANDO;DICCIONARIO DE ECONOMIA;1
320/0303;SANTIAGO GUSTAVO/ZORZUT VERÓNICA;DICCIONARIO DE FILOSOFIA;1
320/0304; MALEFAKIS EDWARD;DICCIONARIO DE HISTORIA Y POLÍTICA DEL MUNDO CONTEMPORÁNEO;1
320/0305;CATTANI ANTONIO D./CORAGGIO/LAVILLE JEAN-LOUIS;DICCIONARIO DE LA OTRA ECONOMIA;1
320/0306;VIDAL MANZANARES CÉSAR;DICCIONARIO DE LAS TRES RELIGIONES MONOTESTAS (JUDAISMO, CRISTIANISMO, E ISLAM);1
320/0308;GRECO ORLANDO;DICCIONARIO DE POLÍTICA;1
320/0309;BOBBIO NORBERTO/MATTEUCCI/PASQUINO;ABCCHDDDOICCIONARIODE FGHORMNOPPOLITICAQRSTUVWXYZ abechdeleh (A-J);2
320/0311;BOBBIO NORBERTO/MATTEUCCI/PASQUINO;ABCCDDDDDICCIONARIODE FGHORMNOPPOLÍTICAQRSTUVWXYZ Imnopqrstuvwxyz (L-Z);2
320/0313;GREGO ORLANDO;DICCIONARIO DE SOCIOLOGIA;2
320/0314;PAYNE MICHAEL;DICCIONARIO DE TEORIA CRÍTICA Y ESTUDIOS CULTURALES;3
320/0315;BIAGINI E. HUGO/ROIG A. ARTURO;DICCIONARIO DEL PENSAMIENTO ALTERNATIVO;1
320/0317;ATTALI JACQUES;DICCIONARIO DEL SIGLO XXI;2
320/0318;VIDAL MANZANARES CÉSAR;DICCIONARIO HISTÓRICO DEL ANTIGUO EGIPTO ;1
320/0319;BONET JUAN MANUEL;DICCIONARIO DE LAS VANGUARDIAS EN ESPAÑA (1907-1936);1
320/0320;O-DONNELL GUILLERMO;DISONANCIAS CRITICAS DEMOCRÁTICAS A LA DEMOCRACIA);2
320/0321;CAVIGLIA MARIANA;DICTADURA, VIDA COTIDIANA Y CLASES MEDIAS (UNA SOCIEDAD FRACTURADA);1
320/0322;BRITTO GARCÍA LUIS;DICTADURA MEDIATICA EN VENEZUELA (PERIODISMO EN TIEMPO DE CRISIS INVESTIGACIÓN DE UNA PRENSA POR ENCIMA DE TODA SOSPECHA);1
320/0323;G. ALMOND/DAHL/DOWNS/DUVERGER/EASTON/LIPSET.....;DIEZ TEXTOS BÁSICOS DE CIENCIA POLITICA;2
320/0324;SANDRI M. PERGIORGIO;DINERO ETICO (LA ECONOMIA ALTERNATIVA Y SOLIDARIA);1
320/0325;CAMPOS REIMERS HERLAND;DIODATO (EL FINAL DE UN FUGITIVO);2
320/0326;BAKUNIN MIJAIL;DIOS Y EL ESTADO;2
320/0327;GRECO CARLOS;DIRECCIÓN ESTRATÉGICA;2
320/0328;DESCARTES RENÉ;DISCURSO DEL METODO;2
320/0329;ROUSSEAU JEAN JACQUES;DISCURSO SOBRE EL ORIGEN Y LOS FUNDAMENTOS DE LA DESIGUALDAD ENTRE LOS HOMBRES;2
320/0330;ROUSSEAU JEAN JACQUES; DISCURSO SOBRE EL ORIGEN Y LOS FUNDAMENTOS DE LA DESIGUALDAD ENTRE LOS HOMBRES;1
320/0331;ROUSSEAU JEAN JACQUES;DISCURSO SOBRE LAS CIENCIAS Y LAS ARTES/DISCURSO SOBRE EL ORIGEN Y FUNDAMENTOS DE LA DESIGUALDAD ENTRE LOS HOMBRES;1
320/0333;ROUSSEAU JEAN JACQUES;DISCURSO SOBRE LA ECONOMÍA POLITICA;1
320/0334;LEIBNIZ, GOTTFRIED WIHELM;DISCURSO SOBRE LA TEOLOGIA NATURAL DE LOS CHINOS;1
320/0335;ROUSSEAU JEAN JACQUES;DISCURSOS SOBRE LA DESIGUALDAD ENTRE LOS HOMBRES/SOBRE LA RESTABLECIMIENTO DE LAS CIENCIAS Y LAS ARTES;3
320/0336;MAQUIAVELO NICOLÁS;DISCURSOS SOBRE LA PRIMERA DÉCADA DE TITO LIVIO ;1
320/0337;WANDERLEY CATIA/BANDEIRA DENILSON/MELO MARCUS;DISEÑO INSTITUCIONAL Y PARTICIPACIÓN POLITICA/EXPERIENCIAS EN EL BRASIL CONTEMPORÁNEO;1
320/0338; ZIBECHI RAÚL;DISPERSAR EL PODER/LOS MOVIMIENTOS COMO PODERES ANTIESTATALES;1
320/0339;LO VUOLO M. RUBÉN;DISTRIBUCIÓN Y CRECIMIENTO. UNA CONTROVERSIA PERSISTENTE;1
320/0340;MONERO MANUEL/CHAVES PEDRO;DIVERSIDAD Y DESIGUALDAD/LAS RAZONES DEL SOCIALISMO;1
320/0341;VERBITSKY HORACIO;DOBLE JUEGO/LA ARGENTINA CATÓLICA Y MILITAR;1
320/0342;RODRÍGUEZ L. HORACIO/QUINTANA MARIO;DOMANDO AL ELEFANTE BLANCO/PASOS PARA CONSTRUIR UN ESTADO QUE FUNCIONE;1
320/0343;GAONA ARCE A. OSCAR ;DOS PUEBLOS, UN ORIGEN, DOS DESTINOS;2
320/0344;KOHAN MARTÍN;DOS VECES JUNIO;1
320/0345;INCHAURRAGA SILVIA;DROGAS Y POLÍTICAS PÚBLICAS/EL MODELO DE REDUCCIÓN DE DAÑOS;1
320/0346;D. M. WINCH;ECONOMÍA ANALÍTICA DEL BIENESTAR/CURSO DE ECONOMÍA MODERNA;1
320/0348; HARRISON JHON;ECONOMÍA MARXISTA PARA SOCIALISTAS (UNA CRÍTICA DEL REFORMISMO);1
320/0350;MACHADO ARAÓZ HORACIO;ECONOMÍA POLITICA DEL CLIENTELISMO (DEMOCRACIA Y CAPITALISMO EN LOS MARGEMES);2
320/0351;WEBER MAX;ECONOMÍA Y SOCIEDAD (ESBOZO DE SOCIOLOGÍA COMPRENSIVA);2
320/0352;ROCA JOSÉ LUIS;ECONOMIA Y SOCIEDAD EN EL ORIENTE BOLIVIANO (SIGLOS XVI-XX);2
320/0353;ROSSI MIGUEL ANGEL;ECOS DEL PENSAMIENTO POLITICO CLÁSICO;1
320/0354;MARX KARL;EL 18 BRUMARIO DE LUIS BONAPARTE;2
320/0355;BERNSTEIN RICARDO J.;EL ABUSO DEL MAL (LA CORRUPCIÓN DE LA POLÍTICA Y LA RELIGIÓN DESDE EL 11/9);1
320/0356;BELL DANIEL;EL ADVENIMIENTO DE LA SOCIEDAD POST INDUSTRIAL (UN INTENTO DE PROGNOSIS SOCIAL);1
320/0357;F. GRACIANO OSVALDO / V. GUTIERREZ TALÍA;EL AGRO EN CUESTIÓN (DISCURSOS , POLITICAS Y CORPORACIONES EN LA ARGENTINA ,1870-2000;1
320/0359;ESTAY JAIME/SÁNCHEZ GERMÁN;EL ALCA Y SUS PELIGROS PARA AMÉRICA LATINA;1
320/0360;BAIGORRIA OSVALDO;EL AMOR LIBRE (EROS Y ANARQUÍA);1
320/0362;D, AURIA ANÍBAL;EL ANARQUISMO FRENTE AL DERECHO (LECTURAS SOBRE PROPIEDAD, FAMILIA, ESTADO Y JUSTICIA) ;1
320/0363;ARMAND ÉMILE;EL ANARQUISMO INDIVIDUALISTA (LO QUE ES PUEDE Y VALEJ;1
320/0365;ZEMELMAN HUGO;EL ÁNGEL DE LA HISTORIA (DETERMINACIÓN Y AUTONOMIA DE LA CONDICIÓN HUMANA);2
320/0366;TZU SUN;EL ARTE DE LA GUERRA;1
320/0368;FABRINI SERGIO;EL ASCENSO DEL PRINCIPE DEMOCRÁTICO (QUIEN GOBIERNA Y COMO SE GOBIERNAN LAS DEMOCRACIAS);3
320/0369;VOEGELIN ERIE;EL ASESINATO DE DIOS Y OTROS ESCRITOS POLÍTICOS;1
320/0370;AL GORE;EL ATAQUE CONTRA LA RAZÓN;2
320/0371;PLATÓN;EL BANQUETE (CLASICOS DE GRECIA Y NOMA);2
320/0373;CHOMSKY NOAM;EL BIEN COMÚN;1
320/0374;CANESSA DE SANGUINETTI MARTA;EL BIEN NACER (LIMPIEZA DE OFICIOS Y LIMPIEZA DE SANGRE: RAICES IBÉRICAS DE UN MAL LATINOAMERICANO DEL SIGLO  XIII-AL SIGLO XX);1
320/0375;MAGNANI ESTEBAN;ELCAMBIO SILENCIOSO (EMPRESAS Y FÁBRICAS RECUPERADAS POR LOS TRABAJADORES EN LA ARGENTINA);1
320/0376;GALAFASSI GUIDO ;EL CAMPO DIVERSO (ENFOQUES Y PERSPECTIVAS DE LA ARGENTINA AGRARIA DEL SIGLO XX);1
320/0377;MARX KARL;EL CAPITAL;1
320/0378;KLIKSBERG BERNARDO/RIVERA MARCIA;EL CAPITAL SOCIAL MOVILIZADO CONTRA LA POBREZA LA EXPERIENCIA DEL PROYECTO DE COMUNIDADES ESPECIALES EN PUERTO RICO);1
320/0380;FURTADO CELSO;EL CAPITALISMO GLOBAL;3
320/0381;ROSANVALON PIERRE ;EL CAPITALISMO UTÓPICO;1
320/0383;HUNTINGTON SAMUEL P.;EL CHOQUE DE CIVILIZACIONES Y LA RECONFIGURACIÓN DEL ORDEN MUNDIAL ;3
320/0384;BURKUN MARIO/KRMPOTIC CLAUDIA;EL CONFLICTO SOCIAL Y POLÍTICO (GRADOS DE LIBERTAD Y SUMISIÓN EN EL ESCENARIO LOCAL Y GLOBAL;1
320/0386;ROUSSEAU JEAN JACQUES;EL CONTRATO SOCIAL O PRINCIPIOS DE DERECHO POLÍTICO;1
320/0387;KENNETH GALBRAITH JUAN;EL CRAC DEL 29;1
320/0388;NIÑO BECERRA SANTIAGO;EL CRASH DEL 2010 (LA CRISIS DE LA PROXIMA DÉCADA);1
320/0389;FORRESTER VIVIANE;EL CRIMEN OCCIDENTAL ;1
320/0390;ABECIA BALDIVIESO VALENTIN;EL CRIOLLISMO DE LA PLATA;1
320/0391;GARGARELLA ROBERTO ;EL DERECHO A RESISTIR EL DERECHO;1
320/0392; RAWLS JHON;"EL DERECHO DE GENTES Y ""UNA REVISIÓN DE LA IDEA DE RAZÓN PÚBLICA";2
320/0393;ÁLVAREZ CHACHO;EL DESARROLLO ECONÓMICO DE LA ARGENTINA EN EL MEDIANO Y LARGO PLAZO (HACIA LA CONSTRUCCIÓN DE CONSENSOS);1
320/0395;NARODOWSKI MARIANO;EL DESORDEN DE LA EDUCACIÓN;1
320/0396;FRANK ANA;EL DIARIO DE ANA FRANK;1
320/0397;SERRANO TORRICO SERVANDO;EL DIARIO DEL CHE EN BOLIVIA;1
320/0398;FERNÁNDEZ DÍAZ JORGE;EL DILEMA DE LOS PROCERES (SHERLOCK HOLMES Y EL CASO DE LAS CARTAS OCULTAS DE ROSAS Y SAN MARTIN);4
320/0401;DARIO SALAS RUBÉN;EL DISCURSO HISTÓRICO JURÍDICO Y POLÍTICO INSTITUCIONAL EN CLAVE RETORICO HERMENEUTICO;2
320/0402;LEMKIN RAPHAEL;EL DOMINIO DEL EJE EN LA EUROPA OCUPADA (INCLUYE EL INFORME SOBRE LA PREVENCIÓN Y SANCION DEL CRIMEN DE GENOCIDIO);1
320/0403;BARNECHEA ALFREDO;EL EDEN IMPERFECTO;1
320/0404;WIEVIORKA MICHEL;EL ESPACIO DEL RACISMO;1
320/0405;PANIKKAR RAIMON;EL ESPIRITU DE LA POLÍTICA (HOMO POLITUCUS);1
320/0406;ANDERSON PERRY;EL ESTADO ABSOLUTISTA;1
320/0407;WALDMANN PETER ;EL ESTADO ANÓMICO (DERECHO, SEGURIDAD PUBLICA Y VIDA COTIDIANA EN AMERICA LATINA ;1
320/0409;TORRICO VILLANUEVA ERICK;EL ESTADO DE LA INVESTIGACIÓN DE LA COMUNICACIÓN EN BOLIVIA;1
320/0410;BADIE BERTRAND/VIDAL DOMINIQUE;EL ESTADO DEL MUNDO (ANUARIO ECONOMICO GEOPOLITICO MUNDIAL 2010);1
320/0411; OROZCO JOSÉ LUIS;EL ESTADO PRAGMATICO;1
320/0414;VINYES RICARD;EL ESTADO Y LA MEMORIA (GOBIERNOS Y CIUDADANOS FRENTE A LOS TRAUMAS DE LA HISTORIA);1
320/0415;MARTÍN LISEPT SEYMOUR;EL EXCEPCIONALISMO NORTEAMERICANO (UNA ESPADA DE DOS FILOS);1
320/0416;DEJOURS CHRISTOPHE;EL FACTOR HUMANO (ASOCIACIÓN TRABAJO Y SOCIEDAD, PROGRAMA DE INVESTIGACIONES ECONÓMICAS SOBRE TEC., TRABAJO Y EMPLEO);1
320/0417;GUÉHENNO JEAN-MARIE;EL FIN DE LA DEMOCRACIA (LA CRISIS POLITICA Y LAS NUEVAS REGLAS DEL JUEGO);2
320/0418;HEKER LILIANA;EL FIN DE LA HISTORIA;1
320/0419;SACHS JEFFREY ;EL FIN DE LA POBREZA (COMO CONSEGUIRLO EN NUESTRO TIEMPO);1
320/0421;JALIFE-RAHME ALFREDO;EL FIN DE UNA ERA (TURBULENCIAS EN LA GLOBALIZACIÓN);1
320/0422;GUILHOU XAVIER/LAGADEC PATRICK;EL FIN DEL RIESGO CERO (FRENTE A LA RUPTURA HISTORICA Y AMBIENTAL EL DESAFIO DE REINVENTAR EL MUNDO;1
320/0423; RIFKIN JEREMY;EL FIN DEL TRABAJO (NUEVAS TECNOLOGÍAS CONTRA PUESTOS DE TRABAJO EL RENACIMIENTO DE UNA NUEVA ERA);1
320/0425;GALINA DAVID NÉSTOR;EL FUTURO ES DEL SOCIALISMO (ENSAYO SOBRE SU TERGIVERSACIÓN Y ACTUALIDAD) ;1
320/0426;BRZEZINSKI ZBIGNIEW;EL GRAN TABLERO MUNDIAL (LA SUPREMACIA ESTADOUNIDENSE Y SUS IMPERATIVOS GEOESTRATÉGICOS);1
320/0427;LÓPEZ IGNACIO JOSÉ;EL HOMBRE DE CLARIN (VIDA PRIVADA Y PUBLICA DE HÉCTOR MAGNETTO);2
320/0429;SIBILA PAULA; EL HOMBRE POSTORGÁNICO (CUERPO, SUBJETIVIDAD Y TECNOLOGÍAS DIGITALES);1
320/0430;ZANOTTI J. GABRIEL;EL HUMANISMO DEL FUTURO (ENSAYO FILOSÓFICO-POLÍTICO);1
320/0431;KAPUSCINSKI RYSZARD;EL IMPERIO;1
320/0432;LE MONDE/PRÓLOGO: CHOMSKY NOAM;EL IMPERIO DE LA GUERRA PERMANENTE (ESTADOS UNIDOS Y LA MUNDIALIZACIÓN LIBERAL);1
320/0433;JOXE ALAIN; EL IMPERIO DEL CAOS (LAS REPÚBLICAS FRENTE A LA DOMINACIÓN ESTADOUNIDENSE EN LA OSGUERRA FRÍA );1
320/0434;MONTOYA ROBERTO;EL IMPERIO GLOBAL (GEORGE W. BUSH, DEL PRESIDENTE DUDOSAMENTE ELECTO A ASPIRANTE A CESAR DEL SIGLO XXI);1
320/0435;PANITCH LEO/LEYS COLIN;EL IMPERIO RECARGADO;2
320/0436;ÁLVAREZ GONZÁLEZ ROBERTO; EL INTELECTUAL Y LA POLITICA (Y OTROS ENSAYOS);3
320/0438; KRUGMAN PAUL;"EL INTERNACIONALISMO ""MODERNO"" (LA ECONOMIA INTERNACIONAL Y LAS MENTIRAS DE LA COMPETITIVIDAD)";1
320/0439;MIRES FERNANDO;EL ISLAMISMO (LA ÚLTIMA GUERRA MUNDIAL;1
320/0440;BENSON OLIVER;EL LABORATORIO DE CIENCIA POLITICA;2
320/0441;MELER ENRIQUE;EL LEGADO DE LA ILUSTRACIÓN;1
320/0442;SIEP LUDWING;EL LEGADO POLÍTICO EUROPEO EN LA FILOSOFIA POLÍTICA DE HEGEL;1
320/0443;CATALÁ NATALIA / DIEZ JOSÉ A / GARCÍA JOSÉ A;EL LENGUAJE Y LA MENTE HUMANA;1
320/0444;MATUS CARLOS;EL LIDER SIN ESTADO MAYOR (LA OFICIANA DEL GOBERNANTE);2
320/0446;IGNATIEFF MICHAEL;EL MAL MENOR (ETICA POLITICA EN UNA ERA DE TERRORI;1
320/0447;MIRES FERNANDO;EL MALESTAR EN LA BARBARIE (EROTISMO Y CULTURA EN LA FORMACIÓN DE LA SOCIEDAD POLITICA);2
320/0448;MOREAL ANTONI;EL PENSAMIENTO POLTICO DE JOAQUIN MAURIN;1
320/0449;JONES GARETH STEDMAN;EL MANIFIESTO COMUNISTA DE KARLMARX Y FRIEDRICH ENGELS /INTROD. Y NOTAS DE GARETH STEDMAN JONES;1
320/0450;TOER MARIO;EL MATERIALISMO HISTORICO (CONCEPTOS Y CATEGORÍAS BÁSICAS ACERCA DE LO SOCIAL;1
320/0452;GRAMSCI ANTONIO ;EL MATERIALISMO HISTÓRICO Y LA FILOSOFÍA DE BENEDETTO CROCE;1
320/0453;SWAN L. RUPERT; EL METODO OBAMA (LAS 100 CLAVES COMUNICATIVAS DEL HOMBRE QUE REVOLUCIONADO EL MUNDO);1
320/0454;CHOMSKY NOAM;EL MIEDO A LA DEMOCRACIA ;1
320/0455;FROMM ERICH;EL MIEDO A LA LIBERTAD;1
320/0456;ARIZAGA CECILIA;EL MITO DE COMUNIDAD EN LA CIUDAD MUNDIALIZADA (ESTILOS DE VIDA Y NUEVAS CLASES MEDIAS EN URBANIZACIONES CERRADAS);1
320/0457;POPPER KARL;EL MITO DEL MARCO COMUN (EN DEFENSA DE LA CIENCIA Y LA RACIONALIDAD);1
320/0458;MAYORGA FERNANDO/CÓRDOVA EDUARDO;EL MOVIMIENTO ANTIGLOBALIZACIÓN EN BOLIVIA (PROCESOS GLOBALES E INICIATIVAS LOCALES EN TIEMPO DE CRISIS Y CAMBIO);1
320/0459;VALENZUELA FEIJOO C. JOSÉ;EL MUNDO DE HOY (MERCADO, RAZON Y UTOPIA);2
320/0460;TOURAINE ALAIN;EL MUNDO DE LAS MUJERES;1
320/0461;SOHR RAÚL;EL MUNDO Y SUS GUERRAS;1
320/0462;SAID W. EDWARD;EL MUNDO, EL TEXTO Y EL CRITICO;1
320/0463;TASCA ÁNGELO;EL NACIMIENTO DEL FASCISMO ;1
320/0465;PANITCH LEO/LEYS COLIN;EL NUEVO DESAFIO IMPERIAL;1
320/0468;ROTHLIN PHILIPPE Y WERDER R.PETER;EL NUEVO SINDROME LABORAL BOREOUT (RECUPERA LA MOTIVACIÓN);1
320/0469;SADER EMIR;EL NUEVO TOPO (LOS CAMINOS DE LA IZQUIERDA LATINOAMERICANA);1
320/0470;RANCIERE JACQUES;EL ODIO A LA DEMOCRACIA;1
320/0471;BOTANO NATALIO;EL ORDEN CONSERVADOR (LA POLITICA ARGENTINA ENTRE 1880-1916);2
320/0472;MIRES FERNANDO;EL ORDEN DEL CAOS ¿EXISTE EL TERCER MUNDO?;1
320/0473;MIRES FERNANDO; EL ORDEN DEL CAOS (HISTORIA DEL FIN DEL COMUNISMO);1
320/0474;ENGELS FEDERICO;EL ORIGEN DE LA FAMILIA DE LA PROPIEDAD PRIVADA Y DEL ESTADO ;1
320/0475;GILBERT ISIDORO;EL ORO DE MOSCU (HISTOREL OTRO OCCIDENTEIA SECRETA DE LA DIPLOMACIA, EL COMERCIO Y LA INTELIGENCIA SOVIÈTICA EN LA ARGENTINA);2
320/0477;INFRANCA ANTONINO;EL OTRO OCCIDENTE;1
320/0478;TEITELBAUM ALEJANDRO;EL PAPEL DE LAS SOCIEDADES TRANSNACIONALES EN EL MUNDO CONTEMPORÁNEO;1
320/0479;BORDELOIS IVONNE;EL PAÍS QUE NOS HABLA;2
320/0481;CAMARERO HERNÁN/HERRERA CARLOS MIGUEL;EL PARTIDO SOCIALISTA EN ARGENTINA (SOCIEDAD, POLÍTICA E IDEAS A TRAVÉS DE UN SIGLO);1
320/0482;JELIN ELIZABETH/SEMPOL DIEGO; EL PASADO EN EL FUTURO: LOS MOVIMIENTOS JUVENILES (MEMORIAS DE LA REPRESIÓN);1
320/0483;ECO HUMBERTO;EL PENDULO DE FOUCAULT;1
320/0484;MIRES FERNANDO;EL PENSAMIENTO DE BENEDICTO XVI;1
320/0485;FILIPPI ALBERTO/LAFER CELSO;EL PENSAMIENTO DE BOBBIO EN LA CULTURA IBEROAMERICANA;1
320/0486;LOWY MICHAEL;EL PENSAMIENTO DEL CHE GUEVARA;1
320/0487;DEVES VALDÉS EDUARDO; EL PENSAMIENTO LATINOAMERICANO EN EL SIGLO XX (TOMO 11: DESDE CEPAL AL NEOLIBERALISMO 1950-1990);1
320/0489; MARCHART OLIVER;EL PENSAMIENTO POLÍTICO POSFUNDACIONAL (LA DIFERENCIA POLITICA EN NANCY, LEFORT, BADIOU Y LACLAU);1
320/0490;TROTSKY LEÓN;EL PENSAMIENTO POLÍTICO DE MARX;1
320/0491;PRONKO ALEJANDRA MARCELA;EL PERONISMO EN LA UNIVERSIDAD;1
320/0492;RADHUBER MARGERITA ISABELLA;EL PODER DE LA TIERRA (DISCURSO AGRARIO EN BOLIVIA: UN ANÁLISIS DE LAS IDEAS SOCIALES, POLÍTICAS, ECONÓMICAS Y...);1
320/0493;NORENG OYSTEIN;EL PODER DEL PETROLEO (LA POLITICA Y EL MERCADO DEL CRUDO) ;1
320/0495;MORRIS DICK/ROSALES LUIS;EL PODER (COMO USARLO EN BENEFICIO DE AMÉRICA LATINA);2
320/0496;POPPER KARL/LORENZ KONRAD;EL PORVENIR ESTÁ ABIERTO;1
320/0497;PANIZZA FRANCISCO;EL POPULISMO COMO ESPEJO DE LA DEMOCRACIA;1
320/0498;KTZ CLAUDIO;EL PORVENIR DEL SOCIALISMO;1
320/0499;MAQUIABELO NICOLAS ;EL PRÍNCIPE (EL PRÍNCIPE Y LAS LEYES DE LA POLÍTICA DE FLORENCIA A ITALIA: MAQUIAVELO, NACIONALISTA);1
320/0500;MAQUIAVELO NICOLÁS;EL PRÍNCIPE (CON PRÓLOGO DEL PROF. CARLOS FLORIA Y NOTAS ATRIBUIDAS A NAPOLEON BONAPARTE);3
320/0501;BOBBIO ROBERTO;EL PROBLEMA DE LA GUERRA Y LAS VÍAS DE LA PAZ;1
320/0502;TROTSKY LEÓN;EL PROGRAMA DE TRANSICIÓN Y LA FUNDACIÓN DE LA IV INTERNACIONAL;1
320/0503;HOFFE OTFRIED;EL PROYECTO POLÍTICO DE LA MODERNIDAD;2
320/0504; RITER FERNANDO;EL PSEUDOCAPITAL;1
320/0505;GOLDMAN NOEMÍ;¡EL PUEBLO QUIERE SABER DE QUE SE TRATA! (HISTORIA OCULTA DE LA REVOLUCIÓN DE MAYO);1
320/0506;PORTINARO PAOLO PIER;EL REALISMO POLÍTICO;1
320/0507;DELPECH THÉRESA;EL RETORNO A LA BARBARIE EN EL SIGLO XXI;1
320/0508;GRAMSCI ANTONIO ;EL RISORGIMENTO;2
320/0509;TULCHIN S. JOSEPH/MANAUT B. RAUL/DIAMINT RUT;EL ROMPECABEZAS (CONFORMANDO LA SEGURIDAD HEMISFERICA EN EL SIGLO XXI;1
320/0510;CLAUDE MILNER JEAN;EL SALARIO IDEAL (LA TEORIA DE LAS CLASES Y DE LA CULTURA EN EL SIGLO XX);2
320/0511;RUIZ FERNANDO;EL SEÑOR DE LOS MERCADOS (AMBITO FINANCIERO, LA CITY Y EL PODER DEL PERIODISMO ECONÓMICO);1
320/0513;RIFKIN JEREMY;EL SIGLO DE LA BIOTECNOLOGIA (EL COMERCIO GENÉTICO Y EL NACIMIENTO DE UN MUNDO FELIZ);2
320/0514;VERBITSKY HORACIO;El SILENCIA (DE PAULO VI A BERGOGLIO (LAS RELACIONES SECRETAS DE LA IGLESIA CON LA ESMA);2
320/0516;BARAS MONTSERRAT/BOTELLA JUAN; EL SISTEMA ELECTORAL (TEMAS CLAVES DE LA CONSTITUCIÓN ESPAÑOLA);1
320/0517;DURKHEIM;EL SOCIALISMO;1
320/0518;EGGERS LAN CONRADO;EL SOL, LA LINEA Y LA CAVERNA;1
